"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","1965761523894440443","2025-09-10T12:57:24.000Z","LuisMarques","Luis Marques","When one encounters draconian entities within diverse mythologies, it is vital to recognize how they may be intertwined with, or emanations from, this Primordial Tradition itself, refracting its ineffable essence through symbols and tongues of different ages and civilizations. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","18","1","0","2","2548","false","none",,,,,"1965761523894440443",,,,,,
"original","1965761441954476174","2025-09-10T12:57:04.000Z","LuisMarques","Luis Marques","The Primordial Dragon is not a mere framework, nor confined to a limited scope or a few deities within this gargantuan continuum: it is the very quintessence of the draconian seed, the axis from which dragon power emanates and the roots that nourish the tree of serpentine gnosis.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","9","19","0","0","4","2064","false","none",,,,,"1965761441954476174",,,,,,
"original","1965761344319504602","2025-09-10T12:56:41.000Z","LuisMarques","Luis Marques","When treading on the endless path of Dragons and the mysteries of draconian magic, it must be remembered that the Primordial Dragon Tradition and its numinous Triad encompasses all dragon deities and powers, both cosmic and abyssal, as they manifest across cultures and timelines.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","19","0","0","2","1702","false","none",,,,,"1965761344319504602",,,,,,
"original","1946909650848190817","2025-07-20T12:26:47.000Z","LuisMarques","Luis Marques","Our gnosis is mightiest weapon, puissant salve and feared liberation, cutting through illusion, shielding the just and soothing the soul unshackled. It is key for the rare souls who dare to break the golden cage, a silent current alive and in motion, unseen yet reshaping all. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","10","26","3","1","2","2865","false","none",,,,,"1946909650848190817",,,,,,
"original","1942143078791286850","2025-07-07T08:46:07.000Z","LuisMarques","Luis Marques","The oneiric chant of primordial light is but a fine shadow of the endarkened soul, once baptized by the ancestral veils of otherness and clothed in the atramentous fabric of the unmanifest horizon bridging cosmos and abyss — stellar fire and chthonic ice as our tenebrous path. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","11","24","0","0","3","2224","false","none",,,,,"1942143078791286850",,,,,,
"original","1933940316324692354","2025-06-14T17:31:16.000Z","LuisMarques","Luis Marques","Many traditions drink from the faded echoes of the Primordial Dragon, yet only a rare few can traverse the arcane pathways that lead into the realms of otherness and their sentient powers, and rarer still are those that can awaken authentic spiritual and sorcerous communion. ᛉ","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","27","1","1","5","2564","false","none",,,,,"1933940316324692354",,,,,,
"original","1923727519376626013","2025-05-17T13:09:16.000Z","LuisMarques","Luis Marques","In an uncultured world where illusory shadows cavort upon the walls of mortal unknowing, even meager vermin aspire to walk as dragons. Their essence but a fleeting spark of corrupted light, lost and unheeded before the serene detachment of beings they vainly strive to emulate. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","10","24","1","0","5","2204","false","none",,,,,"1923727519376626013",,,,,,
"original","1912518612197265544","2025-04-16T14:49:04.000Z","LuisMarques","Luis Marques","Ages may pass, yet a soul must return Home — bearing shattered echoes of countless falls, each shard an unfolded map, tears that carve the way upon spirit and flesh, a silent sorrow born of a thousand battles, scars as a talisman and compass of symbols only your eyes can read. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","13","27","2","0","5","2530","false","none",,,,,"1912518612197265544",,,,,,
"original","1908488688633311586","2025-04-05T11:55:36.000Z","LuisMarques","Luis Marques","There will always be turbulent waters and devastating storms in the meadows of life, yet the learned initiate cultivates acceptance and stillness, yielding in flowing surrender, so that the maelstrom may pass through them. The warrior does not fear the storm — they become it. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","13","26","1","0","3","2016","false","none",,,,,"1908488688633311586",,,,,,
"original","1896530485297529063","2025-03-03T11:57:58.000Z","LuisMarques","Luis Marques","We walk among giants, treading the gnarled roots of the most ancient trees, our voices woven into the songs of the wind, our footsteps stirring the tremors of the earth. Our hands rise to the drums of time, as colossal mountains bearing the smoldering hearts of rock and flame. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","11","22","1","0","2","2101","false","none",,,,,"1896530485297529063",,,,,,
"original","1891122847067582748","2025-02-16T13:49:56.000Z","LuisMarques","Luis Marques","The sacred mysteries of Asetianism form the essential foundation for surviving the alchemical crossing into the realms of the Primordial Dragon—the whetstone that sharpens the Sword of the Soul, allowing it to bathe in abyssal fire without bursting into the flames of oblivion. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","16","24","1","0","4","2399","false","none",,,,,"1891122847067582748",,,,,,
"original","1889397347718685068","2025-02-11T19:33:25.000Z","LuisMarques","Luis Marques","In a decaying world of selfishness and deceit, a mundane reality of idolized liars, proud oppressors and tainted prophets, to endure and rise through authenticity, compassion, loyalty and honor becomes a daring mark of feared rebellion — a sinister song of revolution. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","15","30","1","0","5","2028","false","none",,,,,"1889397347718685068",,,,,,
"original","1875928760698175600","2025-01-05T15:34:04.000Z","LuisMarques","Luis Marques","Heiðr speaks through the gentle dance of a flame, by the howling winds of an untamed storm, in the silence of a wild thriving forest, beneath the blackness of the hidden moon, within the deadliness of the most vicious of poisons… a forbidden language only the devout can hear. ᛉ","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","14","24","1","0","6","1925","false","none",,,,,"1875928760698175600",,,,,,
"original","1874434511662203284","2025-01-01T12:36:27.000Z","LuisMarques","Luis Marques","So many eras have come and gone, unfathomable tribulations clashed and done, yet the Family remains ever stronger, under the guiding roar of ancient Dragons and their blackened wings of cosmic silk. Remain strong, bold and genuine beneath the falling leaves of rot and falsity. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","13","26","0","0","4","1699","false","none",,,,,"1874434511662203284",,,,,,
"original","2035021817719435343","2026-03-20T15:53:04.000Z","LuisMarques","Luis Marques","The storm is sweet embrace to those who dance in the rain, a sacrament of wilderness and liberation for those born to our sacred ancestral path. In fearless surrender, they are unmade and reborn, becoming kin to its tempest, lovers to its fury, and heirs to its grace. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","11","21","5","0","1","1021","false","none",,,,,"2035021817719435343",,,,,,
"original","2031044401074409932","2026-03-09T16:28:14.000Z","LuisMarques","Luis Marques","Let not the faltering of the lost veil your vision or hinder your resolve as torchbearers of the Ancients. Walk the path lit in shadows, your footsteps a song to the Nameless Ones, giants beyond culture, epoch and land. They remain your compass before the clamor of the world. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","20","0","0","3","1251","false","none",,,,,"2031044401074409932",,,,,,
"original","2007447977279787096","2026-01-03T13:44:29.000Z","LuisMarques","Luis Marques","Approach in humility and their breath becomes logos: a word of frozen jade and flaming yew, the numinous force that forges through silence rather than consumes. In falsehood there is no word, only fire — the merciless honesty that burns away all that should never have been. ᛉ","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","10","22","0","0","2","1778","false","none",,,,,"2007447977279787096",,,,,,
"original","2007447878428397814","2026-01-03T13:44:05.000Z","LuisMarques","Luis Marques","A Dragon speaks only in the presence of truth, by the naked recognition of one's own insignificance. Stand unclothed of name, title and illusion for Dragons do not parley with appearances.

When ego kneels, they listen.
When masks fall, they look.
Through raw devotion, they stir.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","22","1","0","3","1530","false","none",,,,,"2007447878428397814",,,,,,
"original","2002729170926031260","2025-12-21T13:13:37.000Z","LuisMarques","Luis Marques","To wield the sword is to cradle a curse veiled in duty, not chosen but whispered by fate. In a world that forgot the covenant of honor, the warrior becomes a ghost clad in defiance. The craven seek mercy they have not sown, with our silence the blade’s edge in every nightmare. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","18","0","0","2","1165","false","none",,,,,"2002729170926031260",,,,,,
"original","1986063665435386348","2025-11-05T13:30:51.000Z","LuisMarques","Luis Marques","Those who fail to grasp the sanctity of selfless unity are undone not by others but slowly devoured by shadows of their own making; a quiet corruption that blossoms within. Self-inflicted pain rooted in absence and sorrow, nourished by illusions of comfort's deceitful hand. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","9","18","0","0","1","1763","false","none",,,,,"1986063665435386348",,,,,,
"original","1965761523894440443","2025-09-10T12:57:24.000Z","LuisMarques","Luis Marques","When one encounters draconian entities within diverse mythologies, it is vital to recognize how they may be intertwined with, or emanations from, this Primordial Tradition itself, refracting its ineffable essence through symbols and tongues of different ages and civilizations. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","18","1","0","2","2548","false","none",,,,,"1965761523894440443",,,,,,
"original","1965761441954476174","2025-09-10T12:57:04.000Z","LuisMarques","Luis Marques","The Primordial Dragon is not a mere framework, nor confined to a limited scope or a few deities within this gargantuan continuum: it is the very quintessence of the draconian seed, the axis from which dragon power emanates and the roots that nourish the tree of serpentine gnosis.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","9","19","0","0","4","2064","false","none",,,,,"1965761441954476174",,,,,,
"original","1965761344319504602","2025-09-10T12:56:41.000Z","LuisMarques","Luis Marques","When treading on the endless path of Dragons and the mysteries of draconian magic, it must be remembered that the Primordial Dragon Tradition and its numinous Triad encompasses all dragon deities and powers, both cosmic and abyssal, as they manifest across cultures and timelines.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","19","0","0","2","1702","false","none",,,,,"1965761344319504602",,,,,,
"original","1946909650848190817","2025-07-20T12:26:47.000Z","LuisMarques","Luis Marques","Our gnosis is mightiest weapon, puissant salve and feared liberation, cutting through illusion, shielding the just and soothing the soul unshackled. It is key for the rare souls who dare to break the golden cage, a silent current alive and in motion, unseen yet reshaping all. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","10","26","3","1","2","2865","false","none",,,,,"1946909650848190817",,,,,,
"original","1942143078791286850","2025-07-07T08:46:07.000Z","LuisMarques","Luis Marques","The oneiric chant of primordial light is but a fine shadow of the endarkened soul, once baptized by the ancestral veils of otherness and clothed in the atramentous fabric of the unmanifest horizon bridging cosmos and abyss — stellar fire and chthonic ice as our tenebrous path. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","11","24","0","0","3","2224","false","none",,,,,"1942143078791286850",,,,,,
"original","1933940316324692354","2025-06-14T17:31:16.000Z","LuisMarques","Luis Marques","Many traditions drink from the faded echoes of the Primordial Dragon, yet only a rare few can traverse the arcane pathways that lead into the realms of otherness and their sentient powers, and rarer still are those that can awaken authentic spiritual and sorcerous communion. ᛉ","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","27","1","1","5","2564","false","none",,,,,"1933940316324692354",,,,,,
"original","1923727519376626013","2025-05-17T13:09:16.000Z","LuisMarques","Luis Marques","In an uncultured world where illusory shadows cavort upon the walls of mortal unknowing, even meager vermin aspire to walk as dragons. Their essence but a fleeting spark of corrupted light, lost and unheeded before the serene detachment of beings they vainly strive to emulate. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","10","24","1","0","5","2204","false","none",,,,,"1923727519376626013",,,,,,
"original","1912518612197265544","2025-04-16T14:49:04.000Z","LuisMarques","Luis Marques","Ages may pass, yet a soul must return Home — bearing shattered echoes of countless falls, each shard an unfolded map, tears that carve the way upon spirit and flesh, a silent sorrow born of a thousand battles, scars as a talisman and compass of symbols only your eyes can read. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","13","27","2","0","5","2530","false","none",,,,,"1912518612197265544",,,,,,
"original","1908488688633311586","2025-04-05T11:55:36.000Z","LuisMarques","Luis Marques","There will always be turbulent waters and devastating storms in the meadows of life, yet the learned initiate cultivates acceptance and stillness, yielding in flowing surrender, so that the maelstrom may pass through them. The warrior does not fear the storm — they become it. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","13","26","1","0","3","2016","false","none",,,,,"1908488688633311586",,,,,,
"original","1896530485297529063","2025-03-03T11:57:58.000Z","LuisMarques","Luis Marques","We walk among giants, treading the gnarled roots of the most ancient trees, our voices woven into the songs of the wind, our footsteps stirring the tremors of the earth. Our hands rise to the drums of time, as colossal mountains bearing the smoldering hearts of rock and flame. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","11","22","1","0","2","2101","false","none",,,,,"1896530485297529063",,,,,,
"original","1891122847067582748","2025-02-16T13:49:56.000Z","LuisMarques","Luis Marques","The sacred mysteries of Asetianism form the essential foundation for surviving the alchemical crossing into the realms of the Primordial Dragon—the whetstone that sharpens the Sword of the Soul, allowing it to bathe in abyssal fire without bursting into the flames of oblivion. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","16","24","1","0","4","2399","false","none",,,,,"1891122847067582748",,,,,,
"original","1889397347718685068","2025-02-11T19:33:25.000Z","LuisMarques","Luis Marques","In a decaying world of selfishness and deceit, a mundane reality of idolized liars, proud oppressors and tainted prophets, to endure and rise through authenticity, compassion, loyalty and honor becomes a daring mark of feared rebellion — a sinister song of revolution. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","15","30","1","0","5","2028","false","none",,,,,"1889397347718685068",,,,,,
"original","1875928760698175600","2025-01-05T15:34:04.000Z","LuisMarques","Luis Marques","Heiðr speaks through the gentle dance of a flame, by the howling winds of an untamed storm, in the silence of a wild thriving forest, beneath the blackness of the hidden moon, within the deadliness of the most vicious of poisons… a forbidden language only the devout can hear. ᛉ","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","14","24","1","0","6","1925","false","none",,,,,"1875928760698175600",,,,,,
"original","1874434511662203284","2025-01-01T12:36:27.000Z","LuisMarques","Luis Marques","So many eras have come and gone, unfathomable tribulations clashed and done, yet the Family remains ever stronger, under the guiding roar of ancient Dragons and their blackened wings of cosmic silk. Remain strong, bold and genuine beneath the falling leaves of rot and falsity. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","13","26","0","0","4","1699","false","none",,,,,"1874434511662203284",,,,,,
"original","2035021817719435343","2026-03-20T15:53:04.000Z","LuisMarques","Luis Marques","The storm is sweet embrace to those who dance in the rain, a sacrament of wilderness and liberation for those born to our sacred ancestral path. In fearless surrender, they are unmade and reborn, becoming kin to its tempest, lovers to its fury, and heirs to its grace. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","11","21","5","0","1","1021","false","none",,,,,"2035021817719435343",,,,,,
"original","2031044401074409932","2026-03-09T16:28:14.000Z","LuisMarques","Luis Marques","Let not the faltering of the lost veil your vision or hinder your resolve as torchbearers of the Ancients. Walk the path lit in shadows, your footsteps a song to the Nameless Ones, giants beyond culture, epoch and land. They remain your compass before the clamor of the world. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","20","0","0","3","1251","false","none",,,,,"2031044401074409932",,,,,,
"original","2007447977279787096","2026-01-03T13:44:29.000Z","LuisMarques","Luis Marques","Approach in humility and their breath becomes logos: a word of frozen jade and flaming yew, the numinous force that forges through silence rather than consumes. In falsehood there is no word, only fire — the merciless honesty that burns away all that should never have been. ᛉ","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","10","22","0","0","2","1778","false","none",,,,,"2007447977279787096",,,,,,
"original","2007447878428397814","2026-01-03T13:44:05.000Z","LuisMarques","Luis Marques","A Dragon speaks only in the presence of truth, by the naked recognition of one's own insignificance. Stand unclothed of name, title and illusion for Dragons do not parley with appearances.

When ego kneels, they listen.
When masks fall, they look.
Through raw devotion, they stir.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","22","1","0","3","1530","false","none",,,,,"2007447878428397814",,,,,,
"original","2002729170926031260","2025-12-21T13:13:37.000Z","LuisMarques","Luis Marques","To wield the sword is to cradle a curse veiled in duty, not chosen but whispered by fate. In a world that forgot the covenant of honor, the warrior becomes a ghost clad in defiance. The craven seek mercy they have not sown, with our silence the blade’s edge in every nightmare. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","18","0","0","2","1165","false","none",,,,,"2002729170926031260",,,,,,
"original","1986063665435386348","2025-11-05T13:30:51.000Z","LuisMarques","Luis Marques","Those who fail to grasp the sanctity of selfless unity are undone not by others but slowly devoured by shadows of their own making; a quiet corruption that blossoms within. Self-inflicted pain rooted in absence and sorrow, nourished by illusions of comfort's deceitful hand. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","9","18","0","0","1","1763","false","none",,,,,"1986063665435386348",,,,,,
"original","1965761523894440443","2025-09-10T12:57:24.000Z","LuisMarques","Luis Marques","When one encounters draconian entities within diverse mythologies, it is vital to recognize how they may be intertwined with, or emanations from, this Primordial Tradition itself, refracting its ineffable essence through symbols and tongues of different ages and civilizations. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","18","1","0","2","2548","false","none",,,,,"1965761523894440443",,,,,,
"original","1965761441954476174","2025-09-10T12:57:04.000Z","LuisMarques","Luis Marques","The Primordial Dragon is not a mere framework, nor confined to a limited scope or a few deities within this gargantuan continuum: it is the very quintessence of the draconian seed, the axis from which dragon power emanates and the roots that nourish the tree of serpentine gnosis.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","9","19","0","0","4","2064","false","none",,,,,"1965761441954476174",,,,,,
"original","1965761344319504602","2025-09-10T12:56:41.000Z","LuisMarques","Luis Marques","When treading on the endless path of Dragons and the mysteries of draconian magic, it must be remembered that the Primordial Dragon Tradition and its numinous Triad encompasses all dragon deities and powers, both cosmic and abyssal, as they manifest across cultures and timelines.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","19","0","0","2","1702","false","none",,,,,"1965761344319504602",,,,,,
"original","1946909650848190817","2025-07-20T12:26:47.000Z","LuisMarques","Luis Marques","Our gnosis is mightiest weapon, puissant salve and feared liberation, cutting through illusion, shielding the just and soothing the soul unshackled. It is key for the rare souls who dare to break the golden cage, a silent current alive and in motion, unseen yet reshaping all. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","10","26","3","1","2","2865","false","none",,,,,"1946909650848190817",,,,,,
"original","1942143078791286850","2025-07-07T08:46:07.000Z","LuisMarques","Luis Marques","The oneiric chant of primordial light is but a fine shadow of the endarkened soul, once baptized by the ancestral veils of otherness and clothed in the atramentous fabric of the unmanifest horizon bridging cosmos and abyss — stellar fire and chthonic ice as our tenebrous path. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","11","24","0","0","3","2224","false","none",,,,,"1942143078791286850",,,,,,
"original","1933940316324692354","2025-06-14T17:31:16.000Z","LuisMarques","Luis Marques","Many traditions drink from the faded echoes of the Primordial Dragon, yet only a rare few can traverse the arcane pathways that lead into the realms of otherness and their sentient powers, and rarer still are those that can awaken authentic spiritual and sorcerous communion. ᛉ","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","27","1","1","5","2564","false","none",,,,,"1933940316324692354",,,,,,
"original","1923727519376626013","2025-05-17T13:09:16.000Z","LuisMarques","Luis Marques","In an uncultured world where illusory shadows cavort upon the walls of mortal unknowing, even meager vermin aspire to walk as dragons. Their essence but a fleeting spark of corrupted light, lost and unheeded before the serene detachment of beings they vainly strive to emulate. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","10","24","1","0","5","2204","false","none",,,,,"1923727519376626013",,,,,,
"original","1912518612197265544","2025-04-16T14:49:04.000Z","LuisMarques","Luis Marques","Ages may pass, yet a soul must return Home — bearing shattered echoes of countless falls, each shard an unfolded map, tears that carve the way upon spirit and flesh, a silent sorrow born of a thousand battles, scars as a talisman and compass of symbols only your eyes can read. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","13","27","2","0","5","2530","false","none",,,,,"1912518612197265544",,,,,,
"original","1908488688633311586","2025-04-05T11:55:36.000Z","LuisMarques","Luis Marques","There will always be turbulent waters and devastating storms in the meadows of life, yet the learned initiate cultivates acceptance and stillness, yielding in flowing surrender, so that the maelstrom may pass through them. The warrior does not fear the storm — they become it. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","13","26","1","0","3","2015","false","none",,,,,"1908488688633311586",,,,,,
"original","1896530485297529063","2025-03-03T11:57:58.000Z","LuisMarques","Luis Marques","We walk among giants, treading the gnarled roots of the most ancient trees, our voices woven into the songs of the wind, our footsteps stirring the tremors of the earth. Our hands rise to the drums of time, as colossal mountains bearing the smoldering hearts of rock and flame. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","11","22","1","0","2","2101","false","none",,,,,"1896530485297529063",,,,,,
"original","1891122847067582748","2025-02-16T13:49:56.000Z","LuisMarques","Luis Marques","The sacred mysteries of Asetianism form the essential foundation for surviving the alchemical crossing into the realms of the Primordial Dragon—the whetstone that sharpens the Sword of the Soul, allowing it to bathe in abyssal fire without bursting into the flames of oblivion. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","16","24","1","0","4","2399","false","none",,,,,"1891122847067582748",,,,,,
"original","5588865009","2009-11-10T13:51:44.000Z","LuisMarques","Luis Marques","An Asetian never feels threatened by the world surrounding him. We had the world in our hands, and willingly gave it away... ☥","en","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","0","10","0","0","1",,"false","none",,,,,"5588865009",,,,,,
"original","5500413918","2009-11-07T05:54:28.000Z","LuisMarques","Luis Marques","November 7th 2009 ☥ May the Ka be with the Ba of those who are Loyal and True.","en","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","0","11","0","0","0",,"false","none",,,,,"5500413918",,,,,,
"original","5485657312","2009-11-06T18:42:00.000Z","LuisMarques","Luis Marques","An evolved and balanced Ego can be a valuable tool for the Self. But a blinding one is always among the first footsteps into Oblivion. ☥","en","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","0","11","0","1","0",,"false","none",,,,,"5485657312",,,,,,
"original","2035021817719435343","2026-03-20T15:53:04.000Z","LuisMarques","Luis Marques","The storm is sweet embrace to those who dance in the rain, a sacrament of wilderness and liberation for those born to our sacred ancestral path. In fearless surrender, they are unmade and reborn, becoming kin to its tempest, lovers to its fury, and heirs to its grace. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","11","21","5","0","1","1021","false","none",,,,,"2035021817719435343",,,,,,
"original","2031044401074409932","2026-03-09T16:28:14.000Z","LuisMarques","Luis Marques","Let not the faltering of the lost veil your vision or hinder your resolve as torchbearers of the Ancients. Walk the path lit in shadows, your footsteps a song to the Nameless Ones, giants beyond culture, epoch and land. They remain your compass before the clamor of the world. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","20","0","0","3","1251","false","none",,,,,"2031044401074409932",,,,,,
"original","2007447977279787096","2026-01-03T13:44:29.000Z","LuisMarques","Luis Marques","Approach in humility and their breath becomes logos: a word of frozen jade and flaming yew, the numinous force that forges through silence rather than consumes. In falsehood there is no word, only fire — the merciless honesty that burns away all that should never have been. ᛉ","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","10","22","0","0","2","1778","false","none",,,,,"2007447977279787096",,,,,,
"original","2007447878428397814","2026-01-03T13:44:05.000Z","LuisMarques","Luis Marques","A Dragon speaks only in the presence of truth, by the naked recognition of one's own insignificance. Stand unclothed of name, title and illusion for Dragons do not parley with appearances.

When ego kneels, they listen.
When masks fall, they look.
Through raw devotion, they stir.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","22","1","0","3","1530","false","none",,,,,"2007447878428397814",,,,,,
"original","2002729170926031260","2025-12-21T13:13:37.000Z","LuisMarques","Luis Marques","To wield the sword is to cradle a curse veiled in duty, not chosen but whispered by fate. In a world that forgot the covenant of honor, the warrior becomes a ghost clad in defiance. The craven seek mercy they have not sown, with our silence the blade’s edge in every nightmare. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12","18","0","0","2","1165","false","none",,,,,"2002729170926031260",,,,,,
"original","1986063665435386348","2025-11-05T13:30:51.000Z","LuisMarques","Luis Marques","Those who fail to grasp the sanctity of selfless unity are undone not by others but slowly devoured by shadows of their own making; a quiet corruption that blossoms within. Self-inflicted pain rooted in absence and sorrow, nourished by illusions of comfort's deceitful hand. ☥","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","9","18","0","0","1","1763","false","none",,,,,"1986063665435386348",,,,,,
"original","1965761523894440443","2025-09-10T12:57:24.000Z","LuisMarques","Luis Marques","When one encounters draconian entities within diverse mythologies, it is vital to recognize how they may be intertwined with, or emanations from, this Primordial Tradition itself, refracting its ineffable essence through symbols and tongues of different ages and civilizations. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","18","1","0","2","2548","false","none",,,,,"1965761523894440443",,,,,,
"original","1965761441954476174","2025-09-10T12:57:04.000Z","LuisMarques","Luis Marques","The Primordial Dragon is not a mere framework, nor confined to a limited scope or a few deities within this gargantuan continuum: it is the very quintessence of the draconian seed, the axis from which dragon power emanates and the roots that nourish the tree of serpentine gnosis.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","9","19","0","0","4","2064","false","none",,,,,"1965761441954476174",,,,,,
"original","1965761344319504602","2025-09-10T12:56:41.000Z","LuisMarques","Luis Marques","When treading on the endless path of Dragons and the mysteries of draconian magic, it must be remembered that the Primordial Dragon Tradition and its numinous Triad encompasses all dragon deities and powers, both cosmic and abyssal, as they manifest across cultures and timelines.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","8","19","0","0","2","1702","false","none",,,,,"1965761344319504602",,,,,,
"original","1946909650848190817","2025-07-20T12:26:47.000Z","LuisMarques","Luis Marques","Our gnosis is mightiest weapon, puissant salve and feared liberation, cutting through illusion, shielding the just and soothing the soul unshackled. It is key for the rare souls who dare to break the golden cage, a silent current alive and in motion, unseen yet reshaping all. ☥","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","10","26","3","1","2","2865","false","none",,,,,"1946909650848190817",,,,,,
